,event name,organiser,speciality,keyword,similarity,date present,description present,start year,start month,start date,end year,end month,end date,time present,start time,end time,description,fee type,fees,mode,venue,register url
10,Return-to-work Coordinators Workshop: Facilitating Return to Work for Injured Workers,Tan Tock Seng Hospital,public health,return to work,0.34688956523030784,True,True,2023,5,11.0,2023,5,12.0,False,,,"This course aims to equip participants with the core competencies of RTW coordinators to assess and facilitate the early RTW of ill or injured workers and collaborate with various stakeholders to develop an appropriate RTW plan.  
In this 6th run of the course, TTSH has partnered with the Singapore Institute of Technology (SIT) to organise this workshop and extending it to non-healthcare professionals involved in facilitating RTW of ill/injured workers at their workplace.   
",Free,0.0,Face-to-Face,Singapore Institute of Technology,https://sitlearn.singaporetech.edu.sg/individualcourse/?title=Return-to-Work-Coordinator-(RTWC)-Programme-(Classroom-&-Asynchronous-e-Learning)=&id=0f1523b0-10b7-ed11-b596-000d3a85d446&FD=true
11,Return-to-work Coordinators Workshop: Facilitating Return to Work for Injured Workers,Tan Tock Seng Hospital,orthopaedic surgery,injured,0.23655760029628278,True,True,2023,5,11.0,2023,5,12.0,False,,,"This course aims to equip participants with the core competencies of RTW coordinators to assess and facilitate the early RTW of ill or injured workers and collaborate with various stakeholders to develop an appropriate RTW plan.  
In this 6th run of the course, TTSH has partnered with the Singapore Institute of Technology (SIT) to organise this workshop and extending it to non-healthcare professionals involved in facilitating RTW of ill/injured workers at their workplace.   
",Free,0.0,Face-to-Face,Singapore Institute of Technology,https://sitlearn.singaporetech.edu.sg/individualcourse/?title=Return-to-Work-Coordinator-(RTWC)-Programme-(Classroom-&-Asynchronous-e-Learning)=&id=0f1523b0-10b7-ed11-b596-000d3a85d446&FD=true
12,"Living Well, Leaving Well - Lasting Power of Attorney",Tan Tock Seng Hospital,public health,living,0.35109943708189484,True,True,2023,5,2.0,2023,5,2.0,True,9:00am (English Talk); 11:00am (Mandarin Talk),10:30am (English Talk); 12:30pm (Mandarin Talk),"This is our last edition of Journeying with Cancer. Hear from our Medical Social Worker and our invited lawyer share what Living Well and Leaving Well entails, along with information on Lasting Power of Attorney, Deputyship, and Will Making. ",Free,0.0,Virtual,,https://form.gov.sg/63b3fe9fe0daed0012675913
13,Prevention and Multidisciplinary Management of Falls in Older Adults,Tan Tock Seng Hospital,medical oncology,multidisciplinary management,0.6596240608931792,True,True,2023,5,23.0,2023,5,24.0,True,8:00am,5:00pm,"In Singapore, 1 in 3 community dwelling elderly aged more than 65 years old will have at least 1 fall in a year.  Falls account for 40% of injury-related deaths. Unaddressed risk factors of falls may result in a person experiencing recurrent falls and poor quality of life. Hence, Physiotherapists play a pivotal role in prevention and mangement of falls to reduce fall risks. This workshop aims to equip Physiotherapists across the care continuum with the knowledge to identify fall risk factors and provide up to date evidence and recommendations in the prevention and management of falls in Older Adults. Group discussions and interactive case studies will be used to apply learnt knowledge and skills in order to promote active learning amonst participants.<br><br>This workshop aims to equip participants with the necessary knowledge and skills in prevention and management of falls, based on up-to-date evidence and recommendations. Insights on multidisciplinary approach in falls prevention and management will also be shared by various healthcare professionals. <br><br>At the end of the course, participants should be able to:<br>1) Understand falls and its impact on older adults<br>2) Identify the fall risks factors of falls on older adults<br>3) Identify and conduct appropriate assessments or outcome measures to screen for falls<br>4) Understand the role of multidisciplinary approach to prevention and management of falls in older adulte
Provide up to date and evidence based knowledge and skills for fall preventiom and management of falls in older adults
<br>5) Provide up to date and evidence based knowledge and skills for fall preventiom and management of falls in older adults",Paid,700.0,Face-to-Face,Tan Tock Seng Hospital,
14,Prevention and Multidisciplinary Management of Falls in Older Adults,Tan Tock Seng Hospital,rehabilitation medicine,prevention,0.421064369036475,True,True,2023,5,23.0,2023,5,24.0,True,8:00am,5:00pm,"In Singapore, 1 in 3 community dwelling elderly aged more than 65 years old will have at least 1 fall in a year.  Falls account for 40% of injury-related deaths. Unaddressed risk factors of falls may result in a person experiencing recurrent falls and poor quality of life. Hence, Physiotherapists play a pivotal role in prevention and mangement of falls to reduce fall risks. This workshop aims to equip Physiotherapists across the care continuum with the knowledge to identify fall risk factors and provide up to date evidence and recommendations in the prevention and management of falls in Older Adults. Group discussions and interactive case studies will be used to apply learnt knowledge and skills in order to promote active learning amonst participants.<br><br>This workshop aims to equip participants with the necessary knowledge and skills in prevention and management of falls, based on up-to-date evidence and recommendations. Insights on multidisciplinary approach in falls prevention and management will also be shared by various healthcare professionals. <br><br>At the end of the course, participants should be able to:<br>1) Understand falls and its impact on older adults<br>2) Identify the fall risks factors of falls on older adults<br>3) Identify and conduct appropriate assessments or outcome measures to screen for falls<br>4) Understand the role of multidisciplinary approach to prevention and management of falls in older adulte
Provide up to date and evidence based knowledge and skills for fall preventiom and management of falls in older adults
<br>5) Provide up to date and evidence based knowledge and skills for fall preventiom and management of falls in older adults",Paid,700.0,Face-to-Face,Tan Tock Seng Hospital,
15,Prevention and Multidisciplinary Management of Falls in Older Adults,Tan Tock Seng Hospital,general surgery,older adults,0.2799515579406785,True,True,2023,5,23.0,2023,5,24.0,True,8:00am,5:00pm,"In Singapore, 1 in 3 community dwelling elderly aged more than 65 years old will have at least 1 fall in a year.  Falls account for 40% of injury-related deaths. Unaddressed risk factors of falls may result in a person experiencing recurrent falls and poor quality of life. Hence, Physiotherapists play a pivotal role in prevention and mangement of falls to reduce fall risks. This workshop aims to equip Physiotherapists across the care continuum with the knowledge to identify fall risk factors and provide up to date evidence and recommendations in the prevention and management of falls in Older Adults. Group discussions and interactive case studies will be used to apply learnt knowledge and skills in order to promote active learning amonst participants.<br><br>This workshop aims to equip participants with the necessary knowledge and skills in prevention and management of falls, based on up-to-date evidence and recommendations. Insights on multidisciplinary approach in falls prevention and management will also be shared by various healthcare professionals. <br><br>At the end of the course, participants should be able to:<br>1) Understand falls and its impact on older adults<br>2) Identify the fall risks factors of falls on older adults<br>3) Identify and conduct appropriate assessments or outcome measures to screen for falls<br>4) Understand the role of multidisciplinary approach to prevention and management of falls in older adulte
Provide up to date and evidence based knowledge and skills for fall preventiom and management of falls in older adults
<br>5) Provide up to date and evidence based knowledge and skills for fall preventiom and management of falls in older adults",Paid,700.0,Face-to-Face,Tan Tock Seng Hospital,
16,Prevention and Multidisciplinary Management of Falls in Older Adults,Tan Tock Seng Hospital,public health,falls,0.22891643491682526,True,True,2023,5,23.0,2023,5,24.0,True,8:00am,5:00pm,"In Singapore, 1 in 3 community dwelling elderly aged more than 65 years old will have at least 1 fall in a year.  Falls account for 40% of injury-related deaths. Unaddressed risk factors of falls may result in a person experiencing recurrent falls and poor quality of life. Hence, Physiotherapists play a pivotal role in prevention and mangement of falls to reduce fall risks. This workshop aims to equip Physiotherapists across the care continuum with the knowledge to identify fall risk factors and provide up to date evidence and recommendations in the prevention and management of falls in Older Adults. Group discussions and interactive case studies will be used to apply learnt knowledge and skills in order to promote active learning amonst participants.<br><br>This workshop aims to equip participants with the necessary knowledge and skills in prevention and management of falls, based on up-to-date evidence and recommendations. Insights on multidisciplinary approach in falls prevention and management will also be shared by various healthcare professionals. <br><br>At the end of the course, participants should be able to:<br>1) Understand falls and its impact on older adults<br>2) Identify the fall risks factors of falls on older adults<br>3) Identify and conduct appropriate assessments or outcome measures to screen for falls<br>4) Understand the role of multidisciplinary approach to prevention and management of falls in older adulte
Provide up to date and evidence based knowledge and skills for fall preventiom and management of falls in older adults
<br>5) Provide up to date and evidence based knowledge and skills for fall preventiom and management of falls in older adults",Paid,700.0,Face-to-Face,Tan Tock Seng Hospital,
17,Essential of Neurological Physiotherapy Assessments in Stroke Patients,Tan Tock Seng Hospital,rehabilitation medicine,neurological physiotherapy,0.6155767563932331,True,True,2023,6,24.0,2023,6,24.0,False,,,"This course aims to equip junior physiotherapists with knowledge of the essential neurological assessments and functional analysis required for stroke patients. An accurate physiotherapy assessment facilitates the formulation of a sound treatment plan and clinical decision making such as goal setting and discharge planning. Case study discussions and practical sessions will be included in this course to help participants apply the knowledge learned.At the end of the course, participants should be able to:
Perform an accurate neurological assessment and functional analysis of bed mobility, sit to stand, gait and standing balance
Select appropriate outcome measures to prognosticate functional recovery and evaluate treatment effectiveness.
<br>1) Perform an accurate neurological assessment and functional analysis of bed mobility, sit to stand, gait and standing balance<br>2) Select appropriate outcome measures to prognosticate functional recovery and evaluate treatment effectiveness.",Paid,600.0,Face-to-Face,Tan Tock Seng Hospital,
18,Essential of Neurological Physiotherapy Assessments in Stroke Patients,Tan Tock Seng Hospital,paediatric surgery,patients,0.42037010462286356,True,True,2023,6,24.0,2023,6,24.0,False,,,"This course aims to equip junior physiotherapists with knowledge of the essential neurological assessments and functional analysis required for stroke patients. An accurate physiotherapy assessment facilitates the formulation of a sound treatment plan and clinical decision making such as goal setting and discharge planning. Case study discussions and practical sessions will be included in this course to help participants apply the knowledge learned.At the end of the course, participants should be able to:
Perform an accurate neurological assessment and functional analysis of bed mobility, sit to stand, gait and standing balance
Select appropriate outcome measures to prognosticate functional recovery and evaluate treatment effectiveness.
<br>1) Perform an accurate neurological assessment and functional analysis of bed mobility, sit to stand, gait and standing balance<br>2) Select appropriate outcome measures to prognosticate functional recovery and evaluate treatment effectiveness.",Paid,600.0,Face-to-Face,Tan Tock Seng Hospital,
19,Essential of Neurological Physiotherapy Assessments in Stroke Patients,Tan Tock Seng Hospital,cardiothoracic surgery,stroke,0.35891556271422126,True,True,2023,6,24.0,2023,6,24.0,False,,,"This course aims to equip junior physiotherapists with knowledge of the essential neurological assessments and functional analysis required for stroke patients. An accurate physiotherapy assessment facilitates the formulation of a sound treatment plan and clinical decision making such as goal setting and discharge planning. Case study discussions and practical sessions will be included in this course to help participants apply the knowledge learned.At the end of the course, participants should be able to:
Perform an accurate neurological assessment and functional analysis of bed mobility, sit to stand, gait and standing balance
Select appropriate outcome measures to prognosticate functional recovery and evaluate treatment effectiveness.
<br>1) Perform an accurate neurological assessment and functional analysis of bed mobility, sit to stand, gait and standing balance<br>2) Select appropriate outcome measures to prognosticate functional recovery and evaluate treatment effectiveness.",Paid,600.0,Face-to-Face,Tan Tock Seng Hospital,
20,Essential of Neurological Physiotherapy Assessments in Stroke Patients,Tan Tock Seng Hospital,diagnostic radiology,assessments,0.3579740731359271,True,True,2023,6,24.0,2023,6,24.0,False,,,"This course aims to equip junior physiotherapists with knowledge of the essential neurological assessments and functional analysis required for stroke patients. An accurate physiotherapy assessment facilitates the formulation of a sound treatment plan and clinical decision making such as goal setting and discharge planning. Case study discussions and practical sessions will be included in this course to help participants apply the knowledge learned.At the end of the course, participants should be able to:
Perform an accurate neurological assessment and functional analysis of bed mobility, sit to stand, gait and standing balance
Select appropriate outcome measures to prognosticate functional recovery and evaluate treatment effectiveness.
<br>1) Perform an accurate neurological assessment and functional analysis of bed mobility, sit to stand, gait and standing balance<br>2) Select appropriate outcome measures to prognosticate functional recovery and evaluate treatment effectiveness.",Paid,600.0,Face-to-Face,Tan Tock Seng Hospital,
21,Essential of Neurological Physiotherapy Assessments in Stroke Patients,Tan Tock Seng Hospital,nuclear medicine,essential,0.19755984602651344,True,True,2023,6,24.0,2023,6,24.0,False,,,"This course aims to equip junior physiotherapists with knowledge of the essential neurological assessments and functional analysis required for stroke patients. An accurate physiotherapy assessment facilitates the formulation of a sound treatment plan and clinical decision making such as goal setting and discharge planning. Case study discussions and practical sessions will be included in this course to help participants apply the knowledge learned.At the end of the course, participants should be able to:
Perform an accurate neurological assessment and functional analysis of bed mobility, sit to stand, gait and standing balance
Select appropriate outcome measures to prognosticate functional recovery and evaluate treatment effectiveness.
<br>1) Perform an accurate neurological assessment and functional analysis of bed mobility, sit to stand, gait and standing balance<br>2) Select appropriate outcome measures to prognosticate functional recovery and evaluate treatment effectiveness.",Paid,600.0,Face-to-Face,Tan Tock Seng Hospital,
22,Advanced Vestibular Rehabilitation,Tan Tock Seng Hospital,rehabilitation medicine,vestibular rehabilitation,0.612497458708232,True,True,2023,7,1.0,2023,7,2.0,False,,,"Vestibular rehabilitation adopts an exercise-based approach in the management of dizziness and balance disorders associated with vestibular pathology. This advanced level course will include topics such as Persistent Postural-Perceptual Dizziness, advanced techniques in BPPV management, motion sickness, cervicogenic dizziness, vestibular migraine associated dizziness, and cervicogenic dizziness. The effects of ageing on the vestibular system, medical conditions and their relation to vestibular system function, concussion management and post-trauma vision syndrome will also be discussed. Supervised practical sessions will be included to allow participants to develop confidence in using new skills taught in the course. Interactive case studies discussion and role plays will also be included to help participants apply the knowledge learned.",Paid,750.0,Face-to-Face,Tan Tock Seng Hospital,
23,Advanced Vestibular Rehabilitation,Tan Tock Seng Hospital,radiation oncology,advanced,0.3506094682534644,True,True,2023,7,1.0,2023,7,2.0,False,,,"Vestibular rehabilitation adopts an exercise-based approach in the management of dizziness and balance disorders associated with vestibular pathology. This advanced level course will include topics such as Persistent Postural-Perceptual Dizziness, advanced techniques in BPPV management, motion sickness, cervicogenic dizziness, vestibular migraine associated dizziness, and cervicogenic dizziness. The effects of ageing on the vestibular system, medical conditions and their relation to vestibular system function, concussion management and post-trauma vision syndrome will also be discussed. Supervised practical sessions will be included to allow participants to develop confidence in using new skills taught in the course. Interactive case studies discussion and role plays will also be included to help participants apply the knowledge learned.",Paid,750.0,Face-to-Face,Tan Tock Seng Hospital,
24,Occupational Therapy Management and Assistive Technology in Clients with Motor Neuron Disease,Tan Tock Seng Hospital,occupational medicine,occupational therapy,0.7285431640792256,True,True,2023,7,20.0,2023,7,21.0,False,,,"Multidisciplinary management is essential for coordinated care and empowerment of patients with Motor Neuron Disease (MND) and their caregivers, and continuity of care via collaboration with community partners.
<br><br>
It is important for clinicians to take an anticipatory approach when looking into the needs of the clients with MND, especially when prescribing assistive technologies.
",Paid,460.0 (SAOT Member); 510.0 (Non-SAOT Member),Virtual,,
25,Occupational Therapy Management and Assistive Technology in Clients with Motor Neuron Disease,Tan Tock Seng Hospital,public health,clients,0.5502585418719044,True,True,2023,7,20.0,2023,7,21.0,False,,,"Multidisciplinary management is essential for coordinated care and empowerment of patients with Motor Neuron Disease (MND) and their caregivers, and continuity of care via collaboration with community partners.
<br><br>
It is important for clinicians to take an anticipatory approach when looking into the needs of the clients with MND, especially when prescribing assistive technologies.
",Paid,460.0 (SAOT Member); 510.0 (Non-SAOT Member),Virtual,,
26,Occupational Therapy Management and Assistive Technology in Clients with Motor Neuron Disease,Tan Tock Seng Hospital,medical oncology,management,0.5379971519506102,True,True,2023,7,20.0,2023,7,21.0,False,,,"Multidisciplinary management is essential for coordinated care and empowerment of patients with Motor Neuron Disease (MND) and their caregivers, and continuity of care via collaboration with community partners.
<br><br>
It is important for clinicians to take an anticipatory approach when looking into the needs of the clients with MND, especially when prescribing assistive technologies.
",Paid,460.0 (SAOT Member); 510.0 (Non-SAOT Member),Virtual,,
27,Occupational Therapy Management and Assistive Technology in Clients with Motor Neuron Disease,Tan Tock Seng Hospital,rehabilitation medicine,assistive technology,0.46281810683056035,True,True,2023,7,20.0,2023,7,21.0,False,,,"Multidisciplinary management is essential for coordinated care and empowerment of patients with Motor Neuron Disease (MND) and their caregivers, and continuity of care via collaboration with community partners.
<br><br>
It is important for clinicians to take an anticipatory approach when looking into the needs of the clients with MND, especially when prescribing assistive technologies.
",Paid,460.0 (SAOT Member); 510.0 (Non-SAOT Member),Virtual,,
28,Occupational Therapy Management and Assistive Technology in Clients with Motor Neuron Disease,Tan Tock Seng Hospital,pathology,motor neuron disease,0.443025351425485,True,True,2023,7,20.0,2023,7,21.0,False,,,"Multidisciplinary management is essential for coordinated care and empowerment of patients with Motor Neuron Disease (MND) and their caregivers, and continuity of care via collaboration with community partners.
<br><br>
It is important for clinicians to take an anticipatory approach when looking into the needs of the clients with MND, especially when prescribing assistive technologies.
",Paid,460.0 (SAOT Member); 510.0 (Non-SAOT Member),Virtual,,
29,Occupational Therapy in Parkinson’s Disease Rehabilitation,Tan Tock Seng Hospital,occupational medicine,occupational therapy,0.7285431640792256,True,True,2023,7,28.0,2023,7,28.0,False,,,"This one-day workshop will provide Occupational Therapists with an overview of Parkinson's Disease (PD), evidence-based management of PD and therapeutic strategies in the area of PD rehabilitation.",Paid,710.0 (SAOT Member); 790.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
30,Occupational Therapy in Parkinson’s Disease Rehabilitation,Tan Tock Seng Hospital,rehabilitation medicine,disease rehabilitation,0.6612178280236358,True,True,2023,7,28.0,2023,7,28.0,False,,,"This one-day workshop will provide Occupational Therapists with an overview of Parkinson's Disease (PD), evidence-based management of PD and therapeutic strategies in the area of PD rehabilitation.",Paid,710.0 (SAOT Member); 790.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
31,Occupational Therapy in Parkinson’s Disease Rehabilitation,Tan Tock Seng Hospital,pathology,parkinson,0.3085351888966057,True,True,2023,7,28.0,2023,7,28.0,False,,,"This one-day workshop will provide Occupational Therapists with an overview of Parkinson's Disease (PD), evidence-based management of PD and therapeutic strategies in the area of PD rehabilitation.",Paid,710.0 (SAOT Member); 790.0 (Non-SAOT Member),Face-to-Face,Tan Tock Seng Hospital,
32,The Musculoskeletal Management Series: Assessing and Managing Upper Quadrant Disorders,Tan Tock Seng Hospital,public health,managing,0.47841343932847497,True,True,2023,8,1.0,2023,8,2.0,False,,,"With the ageing population, there is rising healthcare demands of population in Singapore, and healthcare needs of the musculoskeletal (MSK) care is getting more prominent. While some MSK symptoms are mild and may resolve with rest and analgesics, some individuals presenting with MSK conditions may turn to become chronic conditions, hence it is important to be able to address their symptoms accurately, and provide early and appropriate treatment with relevant education on their conditions via evidence-based practice. <br><br>The focus of this workshop is on upper quadrant (e.g. upper limbs and neck) conditions. This workshop aims to boost participants' confidence and equip them with updated knowledge and skills in assessing and managing patients with common upper quadrant disorders, including shoulder, elbow, thoracic outlet syndrome, upper limb neurogenic and cervical conditions. <br><br>Practical sessions with handling skills will be conducted together with various case scenarios and discussions. <br><br>At the end of the course, participants should be able to:<br>1) Assess and clinically reason through differential diagnoses for the upper quadrant conditions, e.g. shoulder, elbow, thoracic outlet syndrome, upper limb neurogenic and cervical conditions<br>2) Understand common surgical and non-surgical management<br>3) Be confident and effective in providing the appropriate manual techniques, exercise prescriptions as well as education and advice tailored to the patient's individual condition",Paid,800.0,Face-to-Face,Tan Tock Seng Hospital,
